year,semester,campus,course_prefix,course_num,total_enrolled,passed_count,failed_count,fail_ratio,is_offered
2022,Fall,Beirut,BIF,205,31,22,2,0.290322581,1
2022,Fall,Beirut,BIF,243,48,33,8,0.3125,1
2022,Fall,Beirut,BIF,245,11,8,1,0.272727273,1
2022,Fall,Beirut,BIF,310,9,5,0,0.444444444,1
2022,Fall,Beirut,BIF,345,5,5,0,0,1
2022,Fall,Beirut,BIF,375,9,9,0,0,1
2022,Fall,Beirut,BIF,435,16,16,0,0,1
2022,Fall,Beirut,BIF,524,4,4,0,0,1
2022,Fall,Beirut,BIF,599,3,3,0,0,1
2022,Fall,Beirut,CSC,201,285,266,7,0.066666667,1
2022,Fall,Beirut,CSC,206,20,17,0,0.15,1
2022,Fall,Beirut,CSC,243,247,206,22,0.165991903,1
2022,Fall,Beirut,CSC,245,81,60,18,0.259259259,1
2022,Fall,Beirut,CSC,310,120,99,10,0.175,1
2022,Fall,Beirut,CSC,320,69,65,0,0.057971014,1
2022,Fall,Beirut,CSC,322,54,50,0,0.074074074,1
2022,Fall,Beirut,CSC,326,110,97,11,0.118181818,1
2022,Fall,Beirut,CSC,375,114,108,1,0.052631579,1
2022,Fall,Beirut,CSC,430,67,66,0,0.014925373,1
2022,Fall,Beirut,CSC,435,76,73,0,0.039473684,1
2022,Fall,Beirut,CSC,443,90,87,1,0.033333333,1
2022,Fall,Beirut,CSC,461,38,35,1,0.078947368,1
2022,Fall,Beirut,CSC,480,94,87,5,0.074468085,1
2022,Fall,Beirut,CSC,490,34,34,0,0,1
2022,Fall,Beirut,CSC,491,2,2,0,0,1
2022,Fall,Beirut,CSC,599,35,34,0,0.028571429,1
2022,Fall,Beirut,CSC,600,2,2,0,0,1
2022,Fall,Beirut,CSC,615,13,13,0,0,1
2022,Fall,Beirut,CSC,631,11,11,0,0,1
2022,Fall,Beirut,CSC,698,1,0,0,1,1
2022,Fall,Beirut,CSC,699,9,0,0,1,1
2022,Fall,Beirut,MTH,101,70,35,19,0.5,1
2022,Fall,Beirut,MTH,102,32,20,11,0.375,1
2022,Fall,Beirut,MTH,201,301,165,37,0.451827243,1
2022,Fall,Beirut,MTH,207,256,209,19,0.18359375,1
2022,Fall,Beirut,MTH,301,23,17,4,0.260869565,1
2022,Fall,Beirut,MTH,303,41,38,2,0.073170732,1
2022,Fall,Beirut,MTH,304,45,41,1,0.088888889,1
2022,Fall,Beirut,MTH,305,40,19,4,0.525,1
2022,Fall,Beirut,MTH,307,16,10,1,0.375,1
2022,Fall,Beirut,MTH,311,27,21,3,0.222222222,1
2022,Fall,Beirut,MTH,400,13,13,0,0,1
2022,Fall,Beirut,MTH,401,27,24,1,0.111111111,1
2022,Fall,Beirut,MTH,409,1,0,0,1,1
2022,Fall,Beirut,MTH,410,17,17,0,0,1
2022,Fall,Beirut,STA,102,22,15,6,0.318181818,1
2022,Fall,Beirut,STA,205,181,113,24,0.375690608,1
2022,Fall,Beirut,STA,302,75,67,5,0.106666667,1
2022,Fall,Beirut,BIF,599H,1,1,0,0,1
2022,Fall,Beirut,CSC,243B,212,179,18,0.155660377,1
2022,Fall,Beirut,CSC,498H,4,4,0,0,1
2022,Fall,Beirut,CSC,498X,28,28,0,0,1
2022,Fall,Beirut,CSC,599H,2,2,0,0,1
2022,Fall,Beirut,BIF,498HC,1,1,0,0,1
2022,Fall,Byblos,BIF,205,16,12,2,0.25,1
2022,Fall,Byblos,BIF,243,20,13,1,0.35,1
2022,Fall,Byblos,BIF,245,5,1,1,0.8,1
2022,Fall,Byblos,BIF,310,10,10,0,0,1
2022,Fall,Byblos,BIF,345,2,2,0,0,1
2022,Fall,Byblos,BIF,375,2,2,0,0,1
2022,Fall,Byblos,BIF,524,10,9,1,0.1,1
2022,Fall,Byblos,BIF,599,3,2,1,0.333333333,1
2022,Fall,Byblos,CSC,201,119,99,8,0.168067227,1
2022,Fall,Byblos,CSC,243,84,60,8,0.285714286,1
2022,Fall,Byblos,CSC,245,27,11,12,0.592592593,1
2022,Fall,Byblos,CSC,310,33,28,5,0.151515152,1
2022,Fall,Byblos,CSC,326,33,29,3,0.121212121,1
2022,Fall,Byblos,CSC,375,33,33,0,0,1
2022,Fall,Byblos,CSC,430,19,17,1,0.105263158,1
2022,Fall,Byblos,CSC,443,26,21,4,0.192307692,1
2022,Fall,Byblos,CSC,458,18,15,2,0.166666667,1
2022,Fall,Byblos,CSC,480,1,1,0,0,1
2022,Fall,Byblos,CSC,599,14,13,1,0.071428571,1
2022,Fall,Byblos,CSC,615,8,7,0,0.125,1
2022,Fall,Byblos,CSC,631,2,2,0,0,1
2022,Fall,Byblos,CSC,699,5,0,0,1,1
2022,Fall,Byblos,MTH,101,48,31,14,0.354166667,1
2022,Fall,Byblos,MTH,102,17,14,2,0.176470588,1
2022,Fall,Byblos,MTH,201,278,188,50,0.323741007,1
2022,Fall,Byblos,MTH,206,32,22,3,0.3125,1
2022,Fall,Byblos,MTH,207,175,115,36,0.342857143,1
2022,Fall,Byblos,MTH,301,19,14,3,0.263157895,1
2022,Fall,Byblos,MTH,304,38,29,1,0.236842105,1
2022,Fall,Byblos,MTH,305,23,16,6,0.304347826,1
2022,Fall,Byblos,MTH,311,2,2,0,0,1
2022,Fall,Byblos,STA,205,143,110,12,0.230769231,1
2022,Fall,Byblos,STA,302,38,26,6,0.315789474,1
2022,Fall,Byblos,BIF,599H,1,1,0,0,1
2022,Fall,Byblos,CSC,243B,71,48,8,0.323943662,1
2022,Fall,Byblos,CSC,498G,14,12,2,0.142857143,1
2022,Fall,Byblos,CSC,498H,9,7,2,0.222222222,1
2022,Fall,Byblos,BIF,498HB,1,1,0,0,1
2022,Fall,Online,CSC,611O,11,10,1,0.090909091,1
2022,Fall,Online,CSC,636O,3,3,0,0,1
2022,Fall,Online,CSC,662O,22,19,2,0.136363636,1
2023,Fall,Beirut,BIF,205,42,28,5,0.333333333,1
2023,Fall,Beirut,BIF,243,41,33,4,0.195121951,1
2023,Fall,Beirut,BIF,245,14,10,4,0.285714286,1
2023,Fall,Beirut,BIF,310,23,17,2,0.260869565,1
2023,Fall,Beirut,BIF,345,9,9,0,0,1
2023,Fall,Beirut,BIF,375,9,9,0,0,1
2023,Fall,Beirut,BIF,455,22,19,1,0.136363636,1
2023,Fall,Beirut,BIF,524,24,24,0,0,1
2023,Fall,Beirut,BIF,599,5,5,0,0,1
2023,Fall,Beirut,CSC,201,242,234,1,0.033057851,1
2023,Fall,Beirut,CSC,243,191,150,26,0.214659686,1
2023,Fall,Beirut,CSC,245,53,42,6,0.20754717,1
2023,Fall,Beirut,CSC,310,179,148,19,0.173184358,1
2023,Fall,Beirut,CSC,320,65,56,7,0.138461538,1
2023,Fall,Beirut,CSC,322,53,49,1,0.075471698,1
2023,Fall,Beirut,CSC,326,164,152,7,0.073170732,1
2023,Fall,Beirut,CSC,375,163,152,9,0.067484663,1
2023,Fall,Beirut,CSC,430,108,108,0,0,1
2023,Fall,Beirut,CSC,431,77,75,0,0.025974026,1
2023,Fall,Beirut,CSC,435,37,35,0,0.054054054,1
2023,Fall,Beirut,CSC,443,106,104,2,0.018867925,1
2023,Fall,Beirut,CSC,447,45,37,3,0.177777778,1
2023,Fall,Beirut,CSC,461,62,55,3,0.112903226,1
2023,Fall,Beirut,CSC,490,45,42,3,0.066666667,1
2023,Fall,Beirut,CSC,491,22,21,1,0.045454545,1
2023,Fall,Beirut,CSC,599,65,63,1,0.030769231,1
2023,Fall,Beirut,CSC,600,2,2,0,0,1
2023,Fall,Beirut,CSC,611,17,15,1,0.117647059,1
2023,Fall,Beirut,CSC,698,3,0,0,1,1
2023,Fall,Beirut,CSC,699,10,0,1,1,1
2023,Fall,Beirut,MTH,101,85,44,19,0.482352941,1
2023,Fall,Beirut,MTH,102,18,8,4,0.555555556,1
2023,Fall,Beirut,MTH,201,350,201,42,0.425714286,1
2023,Fall,Beirut,MTH,207,312,220,25,0.294871795,1
2023,Fall,Beirut,MTH,301,42,35,0,0.166666667,1
2023,Fall,Beirut,MTH,303,21,13,3,0.380952381,1
2023,Fall,Beirut,MTH,304,40,39,1,0.025,1
2023,Fall,Beirut,MTH,305,41,30,8,0.268292683,1
2023,Fall,Beirut,MTH,307,59,43,9,0.271186441,1
2023,Fall,Beirut,MTH,311,20,16,0,0.2,1
2023,Fall,Beirut,MTH,400,14,14,0,0,1
2023,Fall,Beirut,MTH,401,16,15,0,0.0625,1
2023,Fall,Beirut,MTH,402,1,1,0,0,1
2023,Fall,Beirut,MTH,410,17,13,2,0.235294118,1
2023,Fall,Beirut,STA,102,21,17,2,0.19047619,1
2023,Fall,Beirut,STA,205,130,72,17,0.446153846,1
2023,Fall,Beirut,STA,302,87,67,9,0.229885057,1
2023,Fall,Beirut,BIF,599H,1,1,0,0,1
2023,Fall,Beirut,CSC,243B,191,173,8,0.094240838,1
2023,Fall,Beirut,CSC,245B,53,46,1,0.132075472,1
2023,Fall,Beirut,CSC,310B,178,139,29,0.219101124,1
2023,Fall,Beirut,CSC,498B,14,14,0,0,1
2023,Fall,Beirut,CSC,498H,17,15,2,0.117647059,1
